Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,216,103604166,0.2
,Alaska,2,302,15300884,2
,Arizona,4,479,138079425,0.3
,Arkansas,5,149,63181817,0.2
,California,6,732,815706063,0.1
,Colorado,8,423,110389320,0.4
,Connecticut,9,207,77711442,0.3
,Delaware,10,44,19532241,0.2
,District of Columbia,11,68,13636649,0.5
,Florida,12,190,413765419,0
,Georgia,13,380,209381012,0.2
,Hawaii,15,Suppressed,29491292,Suppressed
,Idaho,16,156,33894011,0.5
,Illinois,17,745,279233480,0.3
,Indiana,18,432,141518257,0.3
,Iowa,19,203,66861208,0.3
,Kansas,20,126,62051541,0.2
,Kentucky,21,297,94374176,0.3
,Louisiana,22,149,100136377,0.1
,Maine,23,139,29046732,0.5
,Maryland,24,340,126308636,0.3
,Massachusetts,25,313,144921428,0.2
,Michigan,26,847,219087039,0.4
,Minnesota,27,459,116354336,0.4
,Mississippi,28,162,64598559,0.3
,Missouri,29,373,130170885,0.3
,Montana,30,217,21654987,1
,Nebraska,31,112,40077995,0.3
,Nevada,32,110,57588193,0.2
,New Hampshire,33,109,28800092,0.4
,New Jersey,34,392,192409809,0.2
,New Mexico,35,447,43978024,1
,New York,36,829,425850343,0.2
,North Carolina,37,402,205681896,0.2
,North Dakota,38,118,15194827,0.8
,Ohio,39,557,253609029,0.2
,Oklahoma,40,293,81770584,0.4
,Oregon,41,291,83915155,0.3
,Pennsylvania,42,843,277318500,0.3
,Rhode Island,44,67,23261764,0.3
,South Carolina,45,291,100679830,0.3
,South Dakota,46,169,17936581,0.9
,Tennessee,47,325,138146823,0.2
,Texas,48,527,548904814,0.1
,Utah,49,176,59820399,0.3
,Vermont,50,69,13674812,0.5
,Virginia,51,476,173946516,0.3
,Washington,53,485,147569534,0.3
,West Virginia,54,148,40168566,0.4
,Wisconsin,55,483,124026036,0.4
,Wyoming,56,116,12035143,1
