"Notes","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","< 1 year","1",0,1304472,Unreliable
,"Alabama","01","1-4 years","1-4",Suppressed,5239031,Suppressed
,"Alabama","01","5-14 years","5-14",0,13693414,Unreliable
,"Alabama","01","15-24 years","15-24",Suppressed,14451900,Suppressed
,"Alabama","01","25-34 years","25-34",15,13466085,Unreliable
,"Alabama","01","35-44 years","35-44",30,13822569,0.2
,"Alabama","01","45-54 years","45-54",52,14275601,0.4
,"Alabama","01","55-64 years","55-64",68,12319456,0.6
,"Alabama","01","65-74 years","65-74",66,8547293,0.8
,"Alabama","01","75-84 years","75-84",84,4798445,1.8
,"Alabama","01","85+ years","85+",63,1685900,3.7
,"Alabama","01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Alaska","02","< 1 year","1",Suppressed,230681,Suppressed
,"Alaska","02","1-4 years","1-4",Suppressed,899177,Suppressed
,"Alaska","02","5-14 years","5-14",13,2269650,Unreliable
,"Alaska","02","15-24 years","15-24",82,2277554,3.6
,"Alaska","02","25-34 years","25-34",91,2258987,4.0
,"Alaska","02","35-44 years","35-44",129,2160862,6.0
,"Alaska","02","45-54 years","45-54",132,2221922,5.9
,"Alaska","02","55-64 years","55-64",110,1694668,6.5
,"Alaska","02","65-74 years","65-74",47,838673,5.6
,"Alaska","02","75-84 years","75-84",25,343746,7.3
,"Alaska","02","85+ years","85+",10,104964,Unreliable
,"Alaska","02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Arizona","04","< 1 year","1",Suppressed,1903998,Suppressed
,"Arizona","04","1-4 years","1-4",Suppressed,7618443,Suppressed
,"Arizona","04","5-14 years","5-14",Suppressed,19115920,Suppressed
,"Arizona","04","15-24 years","15-24",39,19352058,0.2
,"Arizona","04","25-34 years","25-34",58,18981625,0.3
,"Arizona","04","35-44 years","35-44",125,18160609,0.7
,"Arizona","04","45-54 years","45-54",189,17319688,1.1
,"Arizona","04","55-64 years","55-64",169,15147337,1.1
,"Arizona","04","65-74 years","65-74",123,11559192,1.1
,"Arizona","04","75-84 years","75-84",83,6616960,1.3
,"Arizona","04","85+ years","85+",61,2303595,2.6
