"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate
,"Alabama","01","Autauga County, AL","01001",Suppressed,1143294,Suppressed
,"Alabama","01","Baldwin County, AL","01003",15,3987384,Unreliable
,"Alabama","01","Barbour County, AL","01005",Suppressed,599031,Suppressed
,"Alabama","01","Bibb County, AL","01007",Suppressed,487078,Suppressed
,"Alabama","01","Blount County, AL","01009",Suppressed,1229334,Suppressed
,"Alabama","01","Bullock County, AL","01011",Suppressed,238108,Suppressed
,"Alabama","01","Butler County, AL","01013",Suppressed,452078,Suppressed
,"Alabama","01","Calhoun County, AL","01015",10,2530557,Unreliable
,"Alabama","01","Chambers County, AL","01017",Suppressed,762379,Suppressed
,"Alabama","01","Cherokee County, AL","01019",Suppressed,559466,Suppressed
,"Alabama","01","Chilton County, AL","01021",Suppressed,939984,Suppressed
,"Alabama","01","Choctaw County, AL","01023",Suppressed,309114,Suppressed
,"Alabama","01","Clarke County, AL","01025",Suppressed,567825,Suppressed
,"Alabama","01","Clay County, AL","01027",0,303992,Unreliable
,"Alabama","01","Cleburne County, AL","01029",Suppressed,323493,Suppressed
,"Alabama","01","Coffee County, AL","01031",Suppressed,1066907,Suppressed
,"Alabama","01","Colbert County, AL","01033",Suppressed,1200777,Suppressed
,"Alabama","01","Conecuh County, AL","01035",Suppressed,288724,Suppressed
,"Alabama","01","Coosa County, AL","01037",Suppressed,247566,Suppressed
,"Alabama","01","Covington County, AL","01039",Suppressed,823507,Suppressed
,"Alabama","01","Crenshaw County, AL","01041",Suppressed,304355,Suppressed
,"Alabama","01","Cullman County, AL","01043",12,1765568,Unreliable
,"Alabama","01","Dale County, AL","01045",Suppressed,1087885,Suppressed
,"Alabama","01","Dallas County, AL","01047",Suppressed,941217,Suppressed
,"Alabama","01","DeKalb County, AL","01049",Suppressed,1524050,Suppressed
,"Alabama","01","Elmore County, AL","01051",Suppressed,1681462,Suppressed
,"Alabama","01","Escambia County, AL","01053",Suppressed,830558,Suppressed
,"Alabama","01","Etowah County, AL","01055",Suppressed,2274673,Suppressed
,"Alabama","01","Fayette County, AL","01057",Suppressed,381962,Suppressed
,"Alabama","01","Franklin County, AL","01059",Suppressed,689796,Suppressed
,"Alabama","01","Geneva County, AL","01061",Suppressed,578597,Suppressed
,"Alabama","01","Greene County, AL","01063",0,199894,Unreliable
,"Alabama","01","Hale County, AL","01065",Suppressed,351082,Suppressed
,"Alabama","01","Henry County, AL","01067",Suppressed,373340,Suppressed
,"Alabama","01","Houston County, AL","01069",Suppressed,2172484,Suppressed
,"Alabama","01","Jackson County, AL","01071",Suppressed,1166047,Suppressed
,"Alabama","01","Jefferson County, AL","01073",52,14487047,0.4
,"Alabama","01","Lamar County, AL","01075",Suppressed,322037,Suppressed
,"Alabama","01","Lauderdale County, AL","01077",13,2003157,Unreliable
,"Alabama","01","Lawrence County, AL","01079",Suppressed,746485,Suppressed
,"Alabama","01","Lee County, AL","01081",16,3075012,Unreliable
,"Alabama","01","Limestone County, AL","01083",Suppressed,1796090,Suppressed
,"Alabama","01","Lowndes County, AL","01085",Suppressed,253625,Suppressed
