"Notes","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","< 1 year","1",10,1304472,Unreliable
,"Alabama","01","1-4 years","1-4",18,5239031,Unreliable
,"Alabama","01","5-14 years","5-14",Suppressed,13693414,Suppressed
,"Alabama","01","15-24 years","15-24",Suppressed,14451900,Suppressed
,"Alabama","01","25-34 years","25-34",11,13466085,Unreliable
,"Alabama","01","35-44 years","35-44",24,13822569,0.2
,"Alabama","01","45-54 years","45-54",29,14275601,0.2
,"Alabama","01","55-64 years","55-64",47,12319456,0.4
,"Alabama","01","65-74 years","65-74",39,8547293,0.5
,"Alabama","01","75-84 years","75-84",30,4798445,0.6
,"Alabama","01","85+ years","85+",22,1685900,1.3
,"Alabama","01","Not Stated","NS",0,Not Applicable,Not Applicable
,"Alaska","02","< 1 year","1",0,230681,Unreliable
,"Alaska","02","1-4 years","1-4",Suppressed,899177,Suppressed
,"Alaska","02","5-14 years","5-14",Suppressed,2269650,Suppressed
,"Alaska","02","15-24 years","15-24",Suppressed,2277554,Suppressed
,"Alaska","02","25-34 years","25-34",Suppressed,2258987,Suppressed
,"Alaska","02","35-44 years","35-44",Suppressed,2160862,Suppressed
,"Alaska","02","45-54 years","45-54",Suppressed,2221922,Suppressed
,"Alaska","02","55-64 years","55-64",Suppressed,1694668,Suppressed
,"Alaska","02","65-74 years","65-74",Suppressed,838673,Suppressed
,"Alaska","02","75-84 years","75-84",0,343746,Unreliable
,"Alaska","02","85+ years","85+",Suppressed,104964,Suppressed
,"Alaska","02","Not Stated","NS",0,Not Applicable,Not Applicable
,"Arizona","04","< 1 year","1",16,1903998,Unreliable
,"Arizona","04","1-4 years","1-4",24,7618443,0.3
,"Arizona","04","5-14 years","5-14",13,19115920,Unreliable
,"Arizona","04","15-24 years","15-24",48,19352058,0.2
,"Arizona","04","25-34 years","25-34",152,18981625,0.8
,"Arizona","04","35-44 years","35-44",257,18160609,1.4
,"Arizona","04","45-54 years","45-54",430,17319688,2.5
,"Arizona","04","55-64 years","55-64",499,15147337,3.3
,"Arizona","04","65-74 years","65-74",412,11559192,3.6
,"Arizona","04","75-84 years","75-84",368,6616960,5.6
,"Arizona","04","85+ years","85+",191,2303595,8.3
